Method,NDCG@10,MAP@10,Recall@10,HitRate@10,TopKOverlap@10,Regret@10,NDCG@25,MAP@25,Recall@25,HitRate@25,TopKOverlap@25,Regret@25,NDCG@50,MAP@50,Recall@50,HitRate@50,TopKOverlap@50,Regret@50,NDCG@100,MAP@100,Recall@100,HitRate@100,TopKOverlap@100,Regret@100,NDCG_full,NDCG@10pct,P@10pct,Spearman,KendallTau,PairwiseAccuracy,Seed
PRIME-EV,0.6390106751387622,0.0,0.0,0.0,0.0,0.3371111065149307,0.6076038737326843,0.002105263157894737,0.04,1.0,0.04,0.3708888867497444,0.5654995550653309,0.0010526315789473684,0.02,1.0,0.02,0.40848888844251635,0.5978582704230595,0.009304009394805923,0.08,1.0,0.08,0.3452111105620861,0.9217101587907888,0.5972023626426956,0.07920792079207921,-0.016474982460593434,-0.011132887297100186,0.5052,42
AHP_WeightedSum,0.5213507022226754,0.0,0.0,0.0,0.0,0.479888878762722,0.5208715872257913,0.0,0.0,0.0,0.0,0.45635555207729345,0.5664347873050647,0.006464642308536317,0.08,1.0,0.08,0.3806666652858257,0.5863692569445822,0.02772602048660525,0.15,1.0,0.15,0.3437999992072581,0.9206372939832086,0.5874065937843277,0.1485148514851485,0.009228927173914296,0.005872752700370289,0.5042,42
TOPSIS,0.503611021604819,0.0,0.0,0.0,0.0,0.48599999099969865,0.5163330768829781,0.0,0.0,0.0,0.0,0.4495555514097214,0.5507803473212608,0.0049858836815358555,0.06,1.0,0.06,0.392622219324112,0.5772377064150053,0.025856114745877477,0.15,1.0,0.15,0.35034444265067577,0.9195678691406116,0.580223235367126,0.15841584158415842,0.0042457734945286155,0.0025562338461346725,0.4946,42
VIKOR,0.5722909962279509,0.0,0.0,0.0,0.0,0.4025555521249772,0.541819469681756,0.0,0.0,0.0,0.0,0.4289777743816376,0.5480674013954823,0.006871794871794872,0.06,1.0,0.06,0.40799999743700033,0.603300473499996,0.03638644322552047,0.17,1.0,0.17,0.32595555439591406,0.9222505761389737,0.6050127459830328,0.16831683168316833,0.020788294218666528,0.01324412493114428,0.5004,42
MultiObjective_WeightedSum,0.544304055330737,0.0,0.0,0.0,0.0,0.4479999914765358,0.5596526302648895,0.0,0.0,0.0,0.0,0.4072888863086701,0.5501336722643424,0.00662331455879843,0.08,1.0,0.08,0.4088666655123234,0.5790846588812679,0.023980053145054137,0.13,1.0,0.13,0.3561111100018024,0.9211960430219706,0.5811134399048773,0.12871287128712872,0.010462979597814967,0.00602041960483084,0.507,42
Pareto_Balanced,0.6848820907734696,0.0,0.0,0.0,0.0,0.30411109924316404,0.6264324687964751,0.005,0.04,1.0,0.04,0.364266660809517,0.5865672250716496,0.0033,0.04,1.0,0.04,0.3945999984443188,0.5897440893951117,0.024692980173707725,0.1,1.0,0.1,0.36245555467903606,0.9244554604893458,0.5867010517590685,0.09900990099009901,0.018689291492634517,0.01253184434158917,0.5108,42
Random,0.41042778318620465,0.0,0.0,0.0,0.0,0.5077777609229088,0.4789509633701509,0.0,0.0,0.0,0.0,0.43759999096393587,0.5365588350945044,0.005822790113112695,0.08,1.0,0.08,0.3741555526852608,0.5687321721542209,0.01719458157689087,0.11,1.0,0.11,0.3395666655898094,0.9134883967281697,0.5716729766090367,0.1188118811881188,-0.004357464510194231,-0.003478154249658653,0.5012,42
GradientBoostedRanker,0.42193361703215737,0.0,0.0,0.0,0.0,0.5049999944865704,0.5128851518875657,0.0,0.0,0.0,0.0,0.4027999922633172,0.520461424227047,0.004523809523809524,0.04,1.0,0.04,0.40233333058655263,0.5764379892622523,0.009494375990251581,0.09,1.0,0.09,0.33433332998305554,0.9157925760044378,0.5759187589338507,0.0891089108910891,0.003985071721695012,0.0028457411223528763,0.4996,42
RandomForestRanker,0.5622549004008515,0.0,0.0,0.0,0.0,0.4211111072450876,0.5892544444598086,0.005,0.04,1.0,0.04,0.3692444382607937,0.5853555217187938,0.010523809523809522,0.08,1.0,0.08,0.3680444430559874,0.6003202312282085,0.009185636351314719,0.07,1.0,0.07,0.336355554126203,0.9220120960997978,0.6008455672323116,0.06930693069306931,0.008022256255482777,0.005158364162574651,0.5006,42
RidgeRanker,0.6002356730587897,0.0,0.0,0.0,0.0,0.3992222093045712,0.6100147045079425,0.0,0.0,0.0,0.0,0.3653777679800988,0.6081864452952096,0.016828674948240165,0.1,1.0,0.1,0.3540888848900795,0.6104425620109639,0.016473613159435848,0.11,1.0,0.11,0.3358888861350715,0.9243965183567475,0.6110653034456781,0.10891089108910891,-0.019778059210522968,-0.01282107920485189,0.4916,42
